fieldid,instance_id,path,category,field,participants,items,units,sexed,coding,notes,link,excluded,cat_mult_indicator_fields,cat_single_to_cat_mult,date_convert,valuetype,allow_regression
51,2,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,Seated height,497178,565500,cm,Unisex,,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=51,,,,,Continuous,1
52,0,Population characteristics > Baseline characteristics,100094,Month of birth,502506,502506,,Unisex,8,"Calendar month of birth of participant. Acquired from central registry, updated by participant.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=52,YES-AGE,,,,Categorical single,0
53,2,UK Biobank Assessment Centre > Recruitment > Reception,100024,Date of attending assessment centre,502506,573525,,Unisex,,Date that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=53,YES-DATE,,,,Date,0
54,2,UK Biobank Assessment Centre > Recruitment > Reception,100024,UK Biobank assessment centre,502506,573520,,Unisex,10,The UK Biobank assessment centre at which participant consented. Automatically acquired at participant consent,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=54,YES-ASSESSMENT-CENTRE,,,,Categorical single,0
55,2,UK Biobank Assessment Centre > Recruitment > Reception,100024,Month of attending assessment centre,502506,573525,,Unisex,8,Calendar month that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=55,,,,,Categorical single,1
62,2,UK Biobank Assessment Centre > Procedural metrics,100004,Willing to attempt cognitive tests,498377,529807,,Unisex,100641,"ACE touchscreen question ""Now we would like to check your memory and reaction times by getting you to play some short games""",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=62,,,,,Categorical single,1
68,2,UK Biobank Assessment Centre > Biological sampling > Blood sample collection,100002,Number of blood samples taken,501327,571519,,Unisex,,"Blood, count of sample barcodes recorded Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=68,,,,,Integer,1
74,2,UK Biobank Assessment Centre > Biological sampling > Blood sample collection,100002,Fasting time,501311,571495,hours,Unisex,,Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=74,,,,,Integer,1
77,2,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,"Heel bone ultrasound T-score, manual entry",42731,42731,Std.Devs,Unisex,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=77,,,,,Continuous,1
78,2,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,"Heel bone mineral density (BMD) T-score, automated",279094,279094,Std.Devs,Unisex,,This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=78,,,,,Continuous,1
84,2,UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,Cancer year/age first occurred,45525,53149,,Unisex,37,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=84,,,,,Integer,1
87,2,UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,Non-cancer illness year/age first occurred,385697,1121528,,Unisex,37,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87,YES-POLYMORPHIC,,,,Integer,0
92,2,UK Biobank Assessment Centre > Verbal interview > Operations,100076,Operation year/age first occurred,398516,991168,,Unisex,37,"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=92,YES-POLYMORPHIC,,,,Integer,0
93,2,UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,"Systolic blood pressure, manual reading",48794,80973,mmHg,Unisex,,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93,,,,,Integer,1
94,2,UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,"Diastolic blood pressure, manual reading",48794,80973,mmHg,Unisex,,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=94,,,,,Integer,1
95,2,UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,Pulse rate (during blood-pressure measurement),48794,80973,,Unisex,,Pulse measured during automated blood-pressure reading,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=95,,,,,Integer,1
96,2,UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,Time since interview start at which blood pressure screen(s) shown,501656,1132684,seconds,Unisex,,"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=96,,,,,Integer,1
102,2,UK Biobank Assessment Centre > Physical measures > Blood pressure,100011,"Pulse rate, automated reading",475129,1050361,bpm,Unisex,,This is the pulse rate measured during the automated blood pressure readings.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102,,,,,Integer,1
111,2,UK Biobank Assessment Centre > Procedural metrics,100004,Aide-memoire completed,501648,521979,,Unisex,7,Participants were asked to complete an aide-memoire at home (prior to the visiting and assessment centre) to help them complete the more complex/detailed interview questions. This field records whether or not the participant brought a completed aide-memoire to the interview.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=111,,,,,Categorical single,1
120,2,UK Biobank Assessment Centre > Verbal interview > Early life factors,100072,Birth weight known,501648,533687,,Unisex,100258,Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=120,,,,,Categorical single,1
129,2,UK Biobank Assessment Centre > Verbal interview > Early life factors,100072,Place of birth in UK - north co-ordinate,452292,481102,metre-grid,Unisex,170,Place born - north co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=129,,,,,Integer,1
130,2,UK Biobank Assessment Centre > Verbal interview > Early life factors,100072,Place of birth in UK - east co-ordinate,452292,481102,metre-grid,Unisex,170,Place born - east co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=130,,,,,Integer,1
132,2,UK Biobank Assessment Centre > Verbal interview > Employment,100073,Job code at visit - entered,343134,391639,,Unisex,2,This information is regarded as restricted and will be supplied to researchers only when absolutely necessary.    Please use data field 20277 which is the unrestricted version of this data field.    See also the Related Data-Fields tab below for other unrestricted alternatives.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=132,YES-SENSITIVE,,,,Categorical single,0
134,2,UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,Number of self-reported cancers,501656,566685,,Unisex,,Number of cancers entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=134,,,,,Integer,1
135,2,UK Biobank Assessment Centre > Verbal interview > Medical conditions,100074,Number of self-reported non-cancer illnesses,501656,566685,,Unisex,,Number of non-cancer illnesses entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=135,,,,,Integer,1
136,2,UK Biobank Assessment Centre > Verbal interview > Operations,100076,"Number of operations, self-reported",501656,566685,,Unisex,,Number of operations entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=136,,,,,Integer,1
137,2,UK Biobank Assessment Centre > Verbal interview > Medications,100075,Number of treatments/medications taken,501656,566685,,Unisex,,Number of treatments (medications) entered,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=137,,,,,Integer,1
189,0,Population characteristics > Baseline characteristics,100094,Townsend deprivation index at recruitment,501883,501883,,Unisex,,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=189,,,,,Continuous,1
190,0,Population characteristics > Ongoing characteristics,2,Reason lost to follow-up,1298,1298,,Unisex,1965,Indicates the reason that a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the earliest of them is listed.     Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=190,,,,,Categorical single,1
191,0,Population characteristics > Ongoing characteristics,2,Date lost to follow-up,1298,1298,,Unisex,,Indicates the date from which a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the date of the earliest of them is listed.     Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=191,YES-DATE,,,,Date,0
200,0,UK Biobank Assessment Centre > Recruitment > Consent,100023,Date of consenting to join UK Biobank,502504,502504,,Unisex,,Date that participant consented at UK Biobank assessment centre. Automatically acquired at participant consent.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=200,YES-DATE,,,,Date,0
393,0,UK Biobank Assessment Centre > Recruitment > Consent,100023,Program (tactus) version ID (compiler timestamp),502504,502504,,Unisex,1200,This field identifies the version of the touchscreen system in use at the assessment centre when a participant visit took place. The timestamp is not present in data from the initial pilot clinic.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=393,YES-ACE,,,,Categorical single,1
396,2,UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,Number of columns displayed in round,498751,1164328,,Unisex,,,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=396,,,,,Integer,1
397,2,UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,Number of rows displayed in round,498751,1131630,,Unisex,,,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=397,,,,,Integer,1
398,2,UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,Number of correct matches in round,498751,1164328,,Unisex,,"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=398,,,,,Integer,1
399,2,UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,Number of incorrect matches in round,498751,1164328,,Unisex,,A value of 0 indicates the participant made no mistakes.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=399,,,,,Integer,1
400,2,UK Biobank Assessment Centre > Cognitive function > Pairs matching,100030,Time to complete round,498751,1164328,deciseconds,Unisex,402,,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=400,,,,,Integer,1
401,2,UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,Index for card A in round,496614,6763056,,Unisex,92,,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=401,YES-CAT-SIN-MUL-VAL,,,,Categorical single,0
402,2,UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,Index for card B in round,496614,6763056,,Unisex,92,,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=402,YES-CAT-SIN-MUL-VAL,,,,Categorical single,0
403,2,UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,Number of times snap-button pressed,496614,6763056,,Unisex,,This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=403,,,,,Integer,1
404,2,UK Biobank Assessment Centre > Cognitive function > Reaction time,100032,Duration to first press of snap-button in each round,494253,3396561,milliseconds,Unisex,,"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same.  Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=404,,,,,Integer,1
630,2,UK Biobank Assessment Centre > Procedural metrics > Process durations,152,Touchscreen duration,501670,572296,deciseconds,Unisex,,,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=630,,,,,Integer,1
670,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Type of accommodation lived in,501660,572286,,Unisex,100286,"ACE touchscreen question ""What type of accommodation do you live in?"" If the participant activated the Help button they were shown the message:     Please select:  A house or bungalow for any whole, detached, semi-detached or terraced (including end-terrace) house or bungalow.  A flat, maisonette, or apartment for any purpose-built block of flats or tenement, part of a converted or shared house (including bed-sits) or within a commercial building (for example in an office building, or hotel, or over a shop).  If none of the options apply, select None of the above.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=670,,,,,Categorical single,1
680,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Own or rent accommodation lived in,500281,570804,,Unisex,100287,"ACE touchscreen question ""Do you own or rent the accommodation that you live in?"" If the participant activated the Help button they were shown the message:     Please select:  - Own outright if you or someone in your household owns the accommodation that you live in.  - Own with mortagage if you or someone in your household has a mortagage on the accommodation that you live in.      ~F680~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=680,,,,,Categorical single,1
699,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Length of time at current address,501656,572282,years,Unisex,100290,"ACE touchscreen question ""How many years have you lived at your current address?"" The following checks were performed:  If answer   If answer > Participants age then rejected   If the participant activated the Help button they were shown the message:     If you have lived there for less than one year select Less than a year. If you are unsure, please provide an estimate or select Do not know. If you have lived at your current address at different times, add up the total number of years you lived there. For instance if you lived at your current address for 3 years, moved overseas for one year and returned to your current address for another 5 years, then you would enter 8 years.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=699,,,,,Integer,1
709,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Number in household,500277,570800,people,Unisex,100291,"ACE touchscreen question ""Including yourself, how many people are living together in your household? (Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots)"" The following checks were performed:  If answer   If answer > 100 then rejected  If answer > 12 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you live alone, enter 1. Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots.      ~F709~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=709,,,,,Integer,1
728,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Number of vehicles in household,500277,570800,,Unisex,100293,"ACE touchscreen question ""How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use) "" If the participant activated the Help button they were shown the message:     Do not include motorcycles.      ~F728~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=728,,,,,Categorical single,1
738,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household,100066,Average total household income before tax,497405,567047,,Unisex,100294,"ACE touchscreen question ""What is the average total income before tax received by your HOUSEHOLD?"" If the participant activated the Help button they were shown the message:     If you are unsure of annual household income here are the weekly and monthly equivalents:  Annual    Monthly   Weekly  less than &pound;18,000  less than &pound;1,500  less than &pound;346 &pound;18,000 to &pound;29,999  &pound;1,500 to &pound;2,499  &pound;346 to &pound;576 &pound;30,000 to &pound;51,999  &pound;2,500 to &pound;4,333  &pound;577 to &pound;999 &pound;52,000 to &pound;100,000  &pound;4,334 to &pound;8,333  &pound;1000 to &pound;1,923 greater than &pound;100,000  greater than &pound;8,333  greater than &pound;1,923       ~F738~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=738,,,,,Categorical single,1
757,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,Time employed in main current job,288413,314653,years,Unisex,100290,"ACE touchscreen question ""How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)"" The following checks were performed:  If answer   If answer > Participants age - 10 years then rejected  If answer > Participants age - 16 years then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only (ie: the job that you spend most of your time doing). If you have been with the same employer, but have changed jobs whilst you have worked for them, then only give the number of years that you have been in your current job (not the number of years that you have been employed by the same company). For instance, if you have worked as mail-room sorter but then been promoted to manager of the mail-room, please give the number of years you have worked as the mail-room manager only. If you have changed employers, but have had the same job, please give the total number of years that you have worked in that job.  For instance, if you have worked as a cleaner for 3 different companies, please give the total number of years working as a cleaner.      ~F757~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=757,,,,,Integer,1
767,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,Length of working week for main job,288414,314655,hours,Unisex,100291,"ACE touchscreen question ""In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)"" The following checks were performed:  If answer > 160 then rejected  If answer   If answer > 74 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only.      ~F767~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=767,,,,,Integer,1
777,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,Frequency of travelling from home to job workplace,286437,312320,times,Unisex,100298,"ACE touchscreen question ""How many times a WEEK do you travel from home to your main work? (count outward journeys only; put 0 if you always work from home)"" The following checks were performed:  If answer   If answer > 999 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the number of times varies each week, take an average over the last 4 weeks. If you only work from home please enter 0       ~F777~ was collected from the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=777,,,,,Integer,1
796,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,Distance between home and job workplace,267669,290328,miles,Unisex,100300,"ACE touchscreen question ""About how many miles is it between your home and your work? "" The following checks were performed:  If answer   If answer > 9999 then rejected  If answer > 70 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only. If you are unsure, please provide an estimate or select Do not know. If you only work from home please enter 0      ~F796~ was collected from participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~ and except those who indicated they always work from home, as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=796,,,,,Integer,1
806,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,Job involves mainly walking or standing,288414,314655,,Unisex,100301,"ACE touchscreen question ""Does your work involve walking or standing for most of the time?"" If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question your MAIN job only.      ~F806~ was collected from the participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=806,,,,,Categorical single,1
816,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,Job involves heavy manual or physical work,288414,314655,,Unisex,100301,"ACE touchscreen question ""Does your work involve heavy manual or physical work?"" If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only. Physical work includes work that involves handling of heavy objects and use of heavy tools.      ~F816~ was collected from participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=816,,,,,Categorical single,1
826,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment,100064,Job involves shift work,288414,314655,,Unisex,100301,"ACE touchscreen question ""Does your work involve shift work?"" If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only. Shift work is a work schedule that falls outside of the normal daytime working hours of 9am-5pm.  This may involve working afternoons, evenings or nights or rotating through these kinds of shifts.      ~F826~ was collected from participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=826,,,,,Categorical single,1
845,2,UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Education,100063,Age completed full time education,337413,354358,years,Unisex,100306,"ACE touchscreen question ""At what age did you complete your continuous full time education?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer > 40 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Please give the age that you completed 'continuous' full time education. For example, if you stopped your studies when you were 17 years old with the intention that you had completed your studies but then returned to full time studies when you were 24, enter 17. However if you only temporarily stopped your studies at 17 with the intention that you would return to studies (for instance a gap year) and then completed your full time education at 21, enter 21.      ~F845~ was collected from all participants except those who indicated they have a College or University degree, as defined by their answers to ~F6138~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=845,,,,,Integer,1
864,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,Number of days/week walked 10+ minutes,501649,572275,days/week,Unisex,100307,"ACE touchscreen question ""In a typical WEEK, on how many days did you walk for at least 10 minutes at a time? (Include walking that you do at work, travelling to and from work, and for sport or leisure)"" The following checks were performed:  If answer   If answer > 7 then rejected   If the participant activated the Help button they were shown the message:     Count the number of days in a week that you walk for at least 10 minutes continuously at a time.     ",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=864,,,,,Integer,1
874,2,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity,100054,Duration of walks,480084,547065,minutes/day,Unisex,100291,"ACE touchscreen question ""How many minutes did you usually spend walking on a typical DAY?"" The following checks were performed:  If answer   If answer > 1440 then rejected  If answer   If answer > 300 then participant asked to confirm   If the participant activated the Help button they were shown the message:     Count the number of minutes that you usually spend walking in one day. If the time you usually spend walking on each day of the week varies a lot, give an average of the time you spend walking. For instance if on one day of the week you usually walk for 4 hours but on the other day you walk 2 hours then give the average - that is 3 hours.      ~F874~ was collected from participants who indicated that they walked for 10 minutes on at least 1 day per week in the previous 4 weeks, as defined by their answers to ~F864~",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=874,,,,,Integer,1
