"FieldID","Category","Path","Field","ValueType","DataCoding","Excluded","CatMultIndicatorFields","CatSingleToCatMult","DateConvert","Participants","Items","Units","Strata","Instances","Array","Notes","Link","phenoCategory","covarType"
52,100094,"Population characteristics > Baseline characteristics","Month of birth","Categorical single",8,"YES-AGE",NA,NA,NA,502506,502506,"","Primary",1,1,"Calendar month of birth of participant. Acquired from central registry, updated by participant.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=52","Baseline characteristics","centerSex"
53,100024,"UK Biobank Assessment Centre > Recruitment > Reception","Date of attending assessment centre","Date",NA,"YES-DATE",NA,NA,NA,502506,573525,"","Primary",4,1,"Date that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=53","Reception","centerSex"
54,100024,"UK Biobank Assessment Centre > Recruitment > Reception","UK Biobank assessment centre","Categorical single",10,"YES-ASSESSMENT-CENTRE",NA,NA,NA,502506,573520,"","Primary",4,1,"The UK Biobank assessment centre at which participant consented. Automatically acquired at participant consent","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=54","Reception","centerSex"
55,100024,"UK Biobank Assessment Centre > Recruitment > Reception","Month of attending assessment centre","Categorical single",8,NA,NA,NA,NA,502506,573525,"","Primary",4,1,"Calendar month that participant attended a UK Biobank assessment centre. Automatically acquired at Reception stage.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=55","Reception","centerSex"
62,100004,"UK Biobank Assessment Centre > Procedural metrics","Willing to attempt cognitive tests","Categorical single",100641,NA,NA,NA,NA,498377,529807,"","Primary",3,1,"ACE touchscreen question ""Now we would like to check your memory and reaction times by getting you to play some short games""","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=62","Procedural metrics","centerSex"
68,100002,"UK Biobank Assessment Centre > Biological sampling > Blood sample collection","Number of blood samples taken","Integer",NA,NA,NA,NA,NA,501327,571519,"","Primary",4,1,"Blood, count of sample barcodes recorded Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=68","Blood sample collection","centerSex"
74,100002,"UK Biobank Assessment Centre > Biological sampling > Blood sample collection","Fasting time","Integer",NA,NA,NA,NA,NA,501311,571495,"hours","Primary",4,1,"Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=74","Blood sample collection","centerSex"
77,100018,"UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel","Heel bone ultrasound T-score, manual entry","Continuous",NA,NA,NA,NA,NA,42731,42731,"Std.Devs","Primary",1,1,"This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=77","Bone-densitometry of heel","centerSex"
78,100018,"UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel","Heel bone mineral density (BMD) T-score, automated","Continuous",NA,NA,NA,NA,NA,279094,279094,"Std.Devs","Primary",1,1,"This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=78","Bone-densitometry of heel","centerSex"
84,100074,"UK Biobank Assessment Centre > Verbal interview > Medical conditions","Cancer year/age first occurred","Integer",37,NA,NA,NA,NA,45525,53149,"","Primary",4,6,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=84","Medical conditions","centerSex"
87,100074,"UK Biobank Assessment Centre > Verbal interview > Medical conditions","Non-cancer illness year/age first occurred","Integer",37,"YES-POLYMORPHIC",NA,NA,NA,385697,1121528,"","Primary",4,34,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=87","Medical conditions","centerSex"
92,100076,"UK Biobank Assessment Centre > Verbal interview > Operations","Operation year/age first occurred","Integer",37,"YES-POLYMORPHIC",NA,NA,NA,398516,991168,"","Primary",4,32,"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=92","Operations","centerSex"
93,100011,"UK Biobank Assessment Centre > Physical measures > Blood pressure","Systolic blood pressure, manual reading","Integer",NA,NA,NA,NA,NA,48794,80973,"mmHg","Primary",4,2,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=93","Blood pressure","centerSex"
94,100011,"UK Biobank Assessment Centre > Physical measures > Blood pressure","Diastolic blood pressure, manual reading","Integer",NA,NA,NA,NA,NA,48794,80973,"mmHg","Primary",4,2,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=94","Blood pressure","centerSex"
95,100011,"UK Biobank Assessment Centre > Physical measures > Blood pressure","Pulse rate (during blood-pressure measurement)","Integer",NA,NA,NA,NA,NA,48794,80973,"","Primary",4,2,"Pulse measured during automated blood-pressure reading","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=95","Blood pressure","centerSex"
96,100011,"UK Biobank Assessment Centre > Physical measures > Blood pressure","Time since interview start at which blood pressure screen(s) shown","Integer",NA,NA,NA,NA,NA,501656,1132684,"seconds","Auxiliary",4,2,"The time since interview start at which the blood pressure screen was shown is useful because it can be used to calculate the interval between the two measurements of blood pressure. This interval is variable because it, for efficiency reasons, it was impractical to use a fixed time during the UK Biobank Assessments.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=96","Blood pressure","centerSex"
102,100011,"UK Biobank Assessment Centre > Physical measures > Blood pressure","Pulse rate, automated reading","Integer",NA,NA,NA,NA,NA,475129,1050361,"bpm","Primary",4,2,"This is the pulse rate measured during the automated blood pressure readings.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=102","Blood pressure","centerSex"
111,100004,"UK Biobank Assessment Centre > Procedural metrics","Aide-memoire completed","Categorical single",7,NA,NA,NA,NA,501648,521979,"","Primary",2,1,"Participants were asked to complete an aide-memoire at home (prior to the visiting and assessment centre) to help them complete the more complex/detailed interview questions. This field records whether or not the participant brought a completed aide-memoire to the interview.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=111","Procedural metrics","centerSex"
120,100072,"UK Biobank Assessment Centre > Verbal interview > Early life factors","Birth weight known","Categorical single",100258,NA,NA,NA,NA,501648,533687,"","Primary",3,1,"Birth weight known   This question was dropped from the touchscreen protocol on 24/10/2016.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=120","Early life factors","centerSex"
129,100072,"UK Biobank Assessment Centre > Verbal interview > Early life factors","Place of birth in UK - north co-ordinate","Integer",NA,NA,NA,NA,NA,452292,481102,"metre-grid","Primary",3,1,"Place born - north co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=129","Early life factors","centerSex"
130,100072,"UK Biobank Assessment Centre > Verbal interview > Early life factors","Place of birth in UK - east co-ordinate","Integer",NA,NA,NA,NA,NA,452292,481102,"metre-grid","Primary",3,1,"Place born - east co-ordinate   This question was dropped from the touchscreen protocol on 24/10/2016.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=130","Early life factors","centerSex"
132,100073,"UK Biobank Assessment Centre > Verbal interview > Employment","Job code at visit - entered","Categorical single",2,"YES-SENSITIVE",NA,NA,NA,343134,391639,"","Primary",4,1,"This information is regarded as restricted and will be supplied to researchers only when absolutely necessary.    Please use data field 20277 which is the unrestricted version of this data field.    See also the Related Data-Fields tab below for other unrestricted alternatives.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=132","Employment","centerSex"
134,100074,"UK Biobank Assessment Centre > Verbal interview > Medical conditions","Number of self-reported cancers","Integer",NA,NA,NA,NA,NA,501656,566685,"","Primary",4,1,"Number of cancers entered","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=134","Medical conditions","centerSex"
135,100074,"UK Biobank Assessment Centre > Verbal interview > Medical conditions","Number of self-reported non-cancer illnesses","Integer",NA,NA,NA,NA,NA,501656,566685,"","Primary",4,1,"Number of non-cancer illnesses entered","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=135","Medical conditions","centerSex"
136,100076,"UK Biobank Assessment Centre > Verbal interview > Operations","Number of operations, self-reported","Integer",NA,NA,NA,NA,NA,501656,566685,"","Primary",4,1,"Number of operations entered","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=136","Operations","centerSex"
137,100075,"UK Biobank Assessment Centre > Verbal interview > Medications","Number of treatments/medications taken","Integer",NA,NA,NA,NA,NA,501656,566685,"","Primary",4,1,"Number of treatments (medications) entered","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=137","Medications","centerSex"
189,100094,"Population characteristics > Baseline characteristics","Townsend deprivation index at recruitment","Continuous",NA,NA,NA,NA,NA,501883,501883,"","Derived",1,1,"Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=189","Baseline characteristics","centerSex"
190,2,"Population characteristics > Ongoing characteristics","Reason lost to follow-up","Categorical single",1965,NA,NA,NA,NA,1298,1298,"","Primary",1,1,"Indicates the reason that a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the earliest of them is listed.     Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=190","Ongoing characteristics","centerSex"
191,2,"Population characteristics > Ongoing characteristics","Date lost to follow-up","Date",NA,"YES-DATE",NA,NA,NA,1298,1298,"","Primary",1,1,"Indicates the date from which a person is believed to be lost to follow-up.   If there are multiple reasons that a person is lost to follow-up then only the date of the earliest of them is listed.     Please note this data-field has not been updated since May 2017. We are hoping to update this data-field to include more recent information in the next year.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=191","Ongoing characteristics","centerSex"
200,100023,"UK Biobank Assessment Centre > Recruitment > Consent","Date of consenting to join UK Biobank","Date",NA,"YES-DATE",NA,NA,NA,502504,502504,"","Primary",1,1,"Date that participant consented at UK Biobank assessment centre. Automatically acquired at participant consent.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=200","Consent","centerSex"
393,100023,"UK Biobank Assessment Centre > Recruitment > Consent","Program (tactus) version ID (compiler timestamp)","Categorical single",1200,"YES-ACE",NA,NA,NA,502504,502504,"","Auxiliary",1,1,"This field identifies the version of the touchscreen system in use at the assessment centre when a participant visit took place. The timestamp is not present in data from the initial pilot clinic.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=393","Consent","centerSex"
396,100030,"UK Biobank Assessment Centre > Cognitive function > Pairs matching","Number of columns displayed in round","Integer",NA,NA,NA,NA,NA,498751,1164328,"","Primary",4,3,"","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=396","Pairs matching","centerSex"
397,100030,"UK Biobank Assessment Centre > Cognitive function > Pairs matching","Number of rows displayed in round","Integer",NA,NA,NA,NA,NA,498751,1131630,"","Primary",4,2,"","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=397","Pairs matching","centerSex"
398,100030,"UK Biobank Assessment Centre > Cognitive function > Pairs matching","Number of correct matches in round","Integer",NA,NA,NA,NA,NA,498751,1164328,"","Primary",4,3,"This is the number of correct matches in the round. It should always be 3 for a 2x3 game and 6 for a 3x4 game, unless the participant abandoned before finishing.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=398","Pairs matching","centerSex"
399,100030,"UK Biobank Assessment Centre > Cognitive function > Pairs matching","Number of incorrect matches in round","Integer",NA,NA,NA,NA,NA,498751,1164328,"","Primary",4,3,"A value of 0 indicates the participant made no mistakes.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=399","Pairs matching","centerSex"
400,100030,"UK Biobank Assessment Centre > Cognitive function > Pairs matching","Time to complete round","Integer",402,NA,NA,NA,NA,498751,1164328,"deciseconds","Primary",4,3,"","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=400","Pairs matching","centerSex"
401,100032,"UK Biobank Assessment Centre > Cognitive function > Reaction time","Index for card A in round","Categorical single",92,"YES-CAT-SIN-MUL-VAL",NA,NA,NA,496614,6763056,"","Primary",4,12,"","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=401","Reaction time","centerSex"
402,100032,"UK Biobank Assessment Centre > Cognitive function > Reaction time","Index for card B in round","Categorical single",92,"YES-CAT-SIN-MUL-VAL",NA,NA,NA,496614,6763056,"","Primary",4,12,"","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=402","Reaction time","centerSex"
403,100032,"UK Biobank Assessment Centre > Cognitive function > Reaction time","Number of times snap-button pressed","Integer",NA,NA,NA,NA,NA,496614,6763056,"","Primary",4,12,"This indicates the number of times the snap-button was pressed (i.e. the user indicated the cards matched) in each round.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=403","Reaction time","centerSex"
404,100032,"UK Biobank Assessment Centre > Cognitive function > Reaction time","Duration to first press of snap-button in each round","Integer",NA,NA,NA,NA,NA,494253,3396561,"milliseconds","Primary",4,12,"This gives the interval between the cards being displayed and the participant pressing the snap-button to indicate a match. Note that the time is recorded regardless of whether the cards shown formed a matching pair. ~F401~ and ~F402~ need to be compared to determine if the cards were the same.  Each pair was displayed for 2 seconds, followed by a 1 second gap. If the button-press occurred during a gap then it was recorded against the previous pair, giving a value in the range 2001-2999ms.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=404","Reaction time","centerSex"
630,152,"UK Biobank Assessment Centre > Procedural metrics > Process durations","Touchscreen duration","Integer",NA,NA,NA,NA,NA,501670,572296,"deciseconds","Auxiliary",4,1,"","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=630","Process durations","centerSex"
670,100066,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household","Type of accommodation lived in","Categorical single",100286,NA,NA,NA,NA,501660,572286,"","Primary",4,1,"ACE touchscreen question ""What type of accommodation do you live in?"" If the participant activated the Help button they were shown the message:     Please select:  A house or bungalow for any whole, detached, semi-detached or terraced (including end-terrace) house or bungalow.  A flat, maisonette, or apartment for any purpose-built block of flats or tenement, part of a converted or shared house (including bed-sits) or within a commercial building (for example in an office building, or hotel, or over a shop).  If none of the options apply, select None of the above.     ","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=670","Household","centerSex"
680,100066,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household","Own or rent accommodation lived in","Categorical single",100287,NA,NA,NA,NA,500281,570804,"","Primary",4,1,"ACE touchscreen question ""Do you own or rent the accommodation that you live in?"" If the participant activated the Help button they were shown the message:     Please select:  - Own outright if you or someone in your household owns the accommodation that you live in.  - Own with mortagage if you or someone in your household has a mortagage on the accommodation that you live in.      ~F680~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=680","Household","centerSex"
699,100066,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household","Length of time at current address","Integer",100290,NA,NA,NA,NA,501656,572282,"years","Primary",4,1,"ACE touchscreen question ""How many years have you lived at your current address?"" The following checks were performed:  If answer   If answer > Participants age then rejected   If the participant activated the Help button they were shown the message:     If you have lived there for less than one year select Less than a year. If you are unsure, please provide an estimate or select Do not know. If you have lived at your current address at different times, add up the total number of years you lived there. For instance if you lived at your current address for 3 years, moved overseas for one year and returned to your current address for another 5 years, then you would enter 8 years.     ","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=699","Household","centerSex"
709,100066,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household","Number in household","Integer",100291,NA,NA,NA,NA,500277,570800,"people","Primary",4,1,"ACE touchscreen question ""Including yourself, how many people are living together in your household? (Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots)"" The following checks were performed:  If answer   If answer > 100 then rejected  If answer > 12 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you live alone, enter 1. Include those who usually live in the house such as students living away from home during term, partners in the armed forces or professions such as pilots.      ~F709~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home, as defined by their answers to ~F670~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=709","Household","centerSex"
728,100066,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household","Number of vehicles in household","Categorical single",100293,NA,NA,NA,NA,500277,570800,"","Primary",4,1,"ACE touchscreen question ""How many cars or vans are owned, or available for use, by you or members of your household? (Please include company vehicles if available for private use) "" If the participant activated the Help button they were shown the message:     Do not include motorcycles.      ~F728~ was collected from all participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=728","Household","centerSex"
738,100066,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household","Average total household income before tax","Categorical single",100294,NA,NA,NA,NA,497405,567047,"","Primary",4,1,"ACE touchscreen question ""What is the average total income before tax received by your HOUSEHOLD?"" If the participant activated the Help button they were shown the message:     If you are unsure of annual household income here are the weekly and monthly equivalents:  Annual    Monthly   Weekly  less than &pound;18,000  less than &pound;1,500  less than &pound;346 &pound;18,000 to &pound;29,999  &pound;1,500 to &pound;2,499  &pound;346 to &pound;576 &pound;30,000 to &pound;51,999  &pound;2,500 to &pound;4,333  &pound;577 to &pound;999 &pound;52,000 to &pound;100,000  &pound;4,334 to &pound;8,333  &pound;1000 to &pound;1,923 greater than &pound;100,000  greater than &pound;8,333  greater than &pound;1,923       ~F738~ was collected from participants except those who indicated they were living in a sheltered accommodation or in a care home as defined by their answers to ~F670~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=738","Household","centerSex"
757,100064,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment","Time employed in main current job","Integer",100290,NA,NA,NA,NA,288413,314653,"years","Primary",4,1,"ACE touchscreen question ""How many years have you worked in your current job? (If you have more than one job please answer this, and the following questions on work, for your MAIN job only)"" The following checks were performed:  If answer   If answer > Participants age - 10 years then rejected  If answer > Participants age - 16 years then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only (ie: the job that you spend most of your time doing). If you have been with the same employer, but have changed jobs whilst you have worked for them, then only give the number of years that you have been in your current job (not the number of years that you have been employed by the same company). For instance, if you have worked as mail-room sorter but then been promoted to manager of the mail-room, please give the number of years you have worked as the mail-room manager only. If you have changed employers, but have had the same job, please give the total number of years that you have worked in that job.  For instance, if you have worked as a cleaner for 3 different companies, please give the total number of years working as a cleaner.      ~F757~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=757","Employment","centerSex"
767,100064,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment","Length of working week for main job","Integer",100291,NA,NA,NA,NA,288414,314655,"hours","Primary",4,1,"ACE touchscreen question ""In a typical WEEK, how many hours do you spend at work? (Do not include hours travelling to and from work)"" The following checks were performed:  If answer > 160 then rejected  If answer   If answer > 74 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only.      ~F767~ was collected from all the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=767","Employment","centerSex"
777,100064,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment","Frequency of travelling from home to job workplace","Integer",NA,NA,NA,NA,NA,286437,312320,"times","Primary",4,1,"ACE touchscreen question ""How many times a WEEK do you travel from home to your main work? (count outward journeys only; put 0 if you always work from home)"" The following checks were performed:  If answer   If answer > 999 then rejected  If answer > 99 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If the number of times varies each week, take an average over the last 4 weeks. If you only work from home please enter 0       ~F777~ was collected from the participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=777","Employment","centerSex"
796,100064,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment","Distance between home and job workplace","Integer",100300,NA,NA,NA,NA,267669,290328,"miles","Primary",4,1,"ACE touchscreen question ""About how many miles is it between your home and your work? "" The following checks were performed:  If answer   If answer > 9999 then rejected  If answer > 70 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question for your MAIN job only. If you are unsure, please provide an estimate or select Do not know. If you only work from home please enter 0      ~F796~ was collected from participants who indicated they were in paid employment or self-employed, as defined by their answers to ~F6142~ and except those who indicated they always work from home, as defined by their answers to ~F6142~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=796","Employment","centerSex"
806,100064,"UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Employment","Job involves mainly walking or standing","Categorical single",100301,NA,NA,NA,NA,288414,314655,"","Primary",4,1,"ACE touchscreen question ""Does your work involve walking or standing for most of the time?"" If the participant activated the Help button they were shown the message:     If you have more than one 'current job' then answer this question your MAIN job only.      ~F806~ was collected from the participants who indicated they were in paid employment or self-employed as defined by their answers to ~F6142~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=806","Employment","centerSex"
